Town,Day,Month,Year
Abbach,10,1,1905
Abensberg,30,7,1904
Aichach,1,11,1899
Albisheim,3,10,1900
Alsenz,1,4,1902
Altdorf,1,4,1903
Amberg,1,12,1893
Amorbach,1,1,1903
Annweiler,21,9,1900
Ansbach,1,7,1891
Arnstein,1,11,1904
Arnstorf,20,1,1904
Arzberg,1,4,1898
Asch,12,11,1903
Aschaffenburg,15,10,1894
Aschau,4,8,1903
Aschbach,16,8,1904
Aub,20,12,1905
Augsburg,1,7,1886
Babenhausen,4,10,1901
BadAibling,22,6,1899
BadDuerkheim,1,1,1896
BadKissingen,15,5,1893
BadReichenhall,1,7,1892
BadSteben,1,3,1902
BadToelz,1,12,1899
Bamberg,1,11,1887
Bayreuth,15,7,1891
Behringersdorf,12,1,1903
Berchtesgaden,16,7,1892
Berg,1,6,1901
Bergzabern,21,9,1900
Berneck,17,12,1900
Blieskastel,1,2,1901
Bobingen,15,6,1905
Bodenwoehr,24,9,1904
Bogen,22,12,1903
Brannenburg,1,10,1900
Breitenberg,30,8,1904
Bruchmuehlbach,12,7,1904
Bruck,15,10,1893
Bruckmuehl,28,7,1904
Brueckenau,1,8,1896
Buchloe,16,3,1903
Burgau,24,10,1905
Burgebrach,21,1,1904
Burghausen,4,5,1903
Burgkundstadt,16,10,1899
Burglengenfeld,15,1,1901
Buttenheim,14,10,1901
Cadolzburg,1,12,1899
Cham,1,12,1900
Dachau,1,8,1897
Dahn,1,5,1903
Deggendorf,1,12,1899
Deidesheim,1,1,1896
Dettelbach,11,3,1903
Diessen,20,5,1903
Dietmannsried,1,4,1904
Dillingen,10,12,1900
Dingolfing,25,8,1904
Dinkelsbuehl,20,1,1903
Donauwoerth,1,12,1900
Dorfen,10,10,1902
Ebrach,1,5,1903
Edenkoben,1,9,1899
Eggenfelden,17,9,1901
Eggmuehl,15,11,1904
Eichstaett,12,8,1901
Eisenstein,27,9,1905
Eltmann,16,6,1904
Endorf,5,9,1901
Ensheim,1,4,1903
Erbendorf,30,1,1903
Erding,27,11,1900
Ergoldsbach,1,7,1901
Erlangen,1,7,1891
Ettringen,5,8,1903
Fall,13,5,1903
Feldafing,1,3,1893
Feldkirchen,1,8,1897
Feucht,1,10,1897
Feuchtwangen,21,12,1903
Fichtelberg,17,10,1903
Fischach,25,3,1905
Forchheim,1,11,1897
Frankenthal,20,3,1896
Freilassing,26,11,1901
Freinsheim,25,5,1903
Freising,1,10,1893
Freyung,25,11,1903
Friedberg,23,10,1901
Frontenhausen,13,5,1903
Fuerstenzell,16,7,1901
Fuerth,1,8,1885
Fuessen,17,7,1900
FurthWald,1,12,1900
Garmisch,1,7,1896
Gefrees,9,2,1903
Geiselhoering,4,11,1903
Geisenfeld,4,9,1900
Gemuenden,1,7,1903
Georgensgmuend,15,9,1903
Germersheim,1,1,1901
Gerolzhofen,7,8,1903
Goellheim,1,3,1902
Graefenberg,1,11,1903
Grafenau,13,9,1901
Grafengehaig,1,1,1905
Grafing,1,12,1901
Grassau,5,10,1904
Griesbach,22,10,1901
Groenenbach,1,7,1904
Gruenenbach,5,3,1902
Gruenstadt,1,12,1897
Guenzburg,16,11,1899
Gunzenhausen,15,10,1903
Haag,3,11,1903
Hammelburg,1,12,1901
Hassfurt,16,9,1901
Hassloch,1,1,1900
Hauenstein,1,5,1903
Hauzenberg,1,5,1901
Helmbrechts,1,12,1893
Hengersberg,17,7,1903
Herrieden,20,10,1904
Herrsching,1,8,1904
Hersbruck,25,10,1899
Herzogenaurach,4,12,1905
Hilpoltstein,27,6,1905
Hirschau,3,9,1901
Hochspeyer,6,12,1902
Hof,1,3,1890
Hofheim,1,6,1905
Holzkirchen,15,11,1899
Homburg,1,4,1900
Hornbach,8,8,1903
Hutthurm,23,8,1901
Ichenhausen,30,12,1899
Illertissen,1,3,1904
Immenstadt,1,9,1898
Ingenheim,1,5,1903
Ingolstadt,1,10,1897
Ismaning,1,12,1891
Kaiserslautern,1,3,1890
Kallmuenz,9,7,1903
Kandel,1,4,1901
Karlstadt,16,10,1900
Kaufbeuren,1,7,1895
Kelheim,16,7,1900
Kemnath,6,8,1904
Kempten,1,1,1892
Kirchenlamitz,10,5,1898
Kirchheim,6,2,1901
Kirchheimbolanden,1,12,1899
Kitzingen,15,5,1894
Klingenberg,1,1,1900
Kochel,1,7,1900
Koenigshofen,1,1,1905
Koetzting,27,2,1902
Konradsreuth,1,11,1891
Kraiburg,3,8,1904
Kreuth,11,6,1901
Kronach,1,12,1897
Krumbach,25,11,1901
Kulmbach,1,11,1891
Kusel,21,9,1900
Lam,6,11,1903
Lambrecht,1,12,1892
LandauIsar,1,12,1899
LandauPfalz,1,11,1895
Landsberg,1,8,1900
Landshut,1,1,1895
Landstuhl,1,12,1899
Langenzenn,25,6,1901
Langquaid,21,12,1904
Lauf,1,12,1893
Lauingen,1,9,1901
