BezirkOriginal,Region,BezirkNr,Bezirk,Y1840,Y1875,Y1880,Y1885,Y1890,Y1895,Y1900,Y1905,Y1910,City,Fringe,StateTax,LocalTax,Wahlkreis,Border
Ansbach,MF,1,Ansbach,11939,13299,14195,13935,14258,15883,17563,18478,19995,1,0,96533,48266,269,0
AnsbachLand,MF,10,AnsbachLand,23638,24768,33489,33591,32544,33122,32982,33617,34364,0,1,120084,76556,269,0
Beilngries,MF,104,BeilngriesRiedenburg,25001,24596,0,0,0,0,0,0,0,0,0,0,0,270,0
Dinkelsbuehl,MF,2,Dinkelsbuehl,5019,5240,5286,4477,4496,4577,4576,4655,4800,1,0,24650,2370,271,1
DinkelsbuehlLand,MF,11,DinkelsbuehlLand,25514,25182,25844,25563,24868,24446,24086,24136,24767,0,1,108777,52112,271,1
Eichstaett,MF,3,Eichstaett,7396,7136,7489,7655,7546,7722,7701,7942,8029,1,0,36536,27412,270,0
EichstaettLand,MF,12,EichstaettLand,19939,21765,23122,23904,23521,23420,23465,24055,24356,0,1,95775,53641,270,0
Erlangen,MF,4,Erlangen,10630,13597,14876,15828,17559,20892,22953,23737,24877,1,0,101416,87094,268,0
ErlangenLand,MF,13,ErlangenLand,13201,13184,13521,13718,12723,12870,13040,13406,14302,0,1,34694,34844,268,0
Feuchtwangen,MF,14,Feuchtwangen,25245,26265,27132,26743,26332,26053,25898,26196,26631,0,0,104821,85950,271,1
Fuerth,MF,5,Fuerth,14989,27360,31063,15455,43206,46726,54144,60635,66553,1,0,299157,254364,268,0
FuerthLand,MF,15,FuerthLand,22582,25097,25998,16496,26640,27523,28450,29055,30764,0,1,89949,45177,268,0
Gunzenhausen,MF,16,Gunzenhausen,27934,28471,32014,32582,31933,31945,31798,32100,32602,0,0,130620,39258,271,0
Heilsbronn,MF,0,NA,14483,26801,0,0,0,0,0,0,0,0,0,0,0,,0
Hersbruck,MF,17,HersbruckLauf,19186,34507,37363,38172,36132,37218,40471,43137,22568,0,0,143028,133427,268,0
Hiltpoltstein,MF,18,Hilpoltstein,0,0,23776,23282,24105,23954,23435,23678,23656,0,0,94490,58333,270,0
LaufPegnitz,MF,17,HersbruckLauf,0,0,0,0,0,0,0,0,24542,0,0,0,0,268,0
NeustadtAisch,MF,19,NeustadtAisch,33171,32647,33220,32579,30277,30282,29700,30429,30755,0,0,123379,85897,272,0
Nuernberg,MF,6,Nuernberg,46824,91018,99519,114891,142590,162386,261081,294426,333142,1,0,1278971,1087130,267,0
NuernbergLand,MF,20,NuernbergLand,23684,38520,44301,47755,49694,54987,20416,21581,23296,0,1,171272,145909,267,0
Rothenburg,MF,7,Rothenburg,5231,5773,6504,6826,7001,7193,7923,8436,8612,1,0,35200,22899,272,1
RothenburgLand,MF,21,RothenburgLand,15887,16553,20586,20526,20324,19872,19589,19678,19728,0,1,110311,87557,272,1
Scheinfeld,MF,22,Scheinfeld,19757,20236,20889,20715,19826,19524,19098,18775,18282,0,0,102294,29355,272,0
Schwabach,MF,8,Schwabach,6981,7024,7513,7670,8104,8404,9385,10347,11195,1,0,33300,26996,269,0
SchwabachLand,MF,23,SchwabachLand,25207,28157,31517,32848,31930,33267,33697,34976,37234,0,1,95158,68745,269,0
Uffenheim,MF,24,Uffenheim,28891,30334,32649,32420,31483,30854,30309,30191,30088,0,0,210526,79308,272,1
Weissenburg,MF,9,Weissenburg,0,5203,5737,6025,6112,6315,6550,6709,7189,1,0,37748,0,270,0
WeissenburgLand,MF,25,WeissenburgLand,27932,24351,26214,27310,27402,27746,27588,28471,28541,0,1,124779,47733,270,0
