Region,Ansbach,Ansbach,Ansbach,Dinkelsbuehl,Dinkelsbuehl,Dinkelsbuehl,Eichstaett,Eichstaett,Eichstaett,Erlangen,Erlangen,Erlangen,Fuerth,Fuerth,Fuerth,Nuernberg,Nuernberg,Nuernberg,Rothenburg,Rothenburg,Rothenburg,Schwabach,Schwabach,Schwabach,Weissenburg,Weissenburg,Weissenburg,AnsbachLand,AnsbachLand,AnsbachLand,DinkelsbuehlLand,DinkelsbuehlLand,DinkelsbuehlLand,EichstaettLand,EichstaettLand,EichstaettLand,ErlangenLand,ErlangenLand,ErlangenLand,Feuchtwangen,Feuchtwangen,Feuchtwangen,FuerthLand,FuerthLand,FuerthLand,Gunzenhausen,Gunzenhausen,Gunzenhausen,HersbruckLauf,HersbruckLauf,HersbruckLauf,Hilpoltstein,Hilpoltstein,Hilpoltstein,NeustadtAisch,NeustadtAisch,NeustadtAisch,NuernbergLand,NuernbergLand,NuernbergLand,RothenburgLand,RothenburgLand,RothenburgLand,Scheinfeld,Scheinfeld,Scheinfeld,SchwabachLand,SchwabachLand,SchwabachLand,Uffenheim,Uffenheim,Uffenheim,WeissenburgLand,WeissenburgLand,WeissenburgLand
Year,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882
1,82,23,17,16,6,1,40,42,9,55,54,35,110,58,17,503,305,86,15,13,4,25,10,5,21,14,6,18,5,2,17,11,11,1,0,0,3,1,0,8,3,1,27,12,4,13,12,2,32,12,5,3,0,0,9,4,1,49,94,21,0,0,0,9,3,0,22,9,0,22,12,4,25,9,0
2,0,0,0,4,3,6,4,2,5,2,0,0,9,2,5,10,7,4,2,2,0,0,0,0,3,3,0,1,0,1,5,6,3,3,8,6,2,1,0,5,1,2,5,1,2,9,5,6,6,6,1,0,1,1,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0,0,1,0,2,1,1
3,3,0,0,0,0,0,0,0,0,0,0,0,35,0,0,697,41,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,62,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,261,77,0,0,0,0,0,0,127,18,0,0,0,0,0,0,0
4,80,139,99,19,34,20,76,125,56,168,132,87,4447,1955,836,2390,630,420,99,80,43,138,162,121,88,49,44,126,205,106,121,73,97,626,511,431,236,256,168,146,88,87,1099,1334,308,113,88,87,1255,655,264,97,48,66,189,112,94,320,959,419,158,42,61,128,162,90,291,399,268,240,170,147,1320,957,880
5,332,178,163,55,63,66,62,63,62,210,259,185,3691,2695,1679,18547,7715,4746,71,86,99,1995,1355,977,901,756,584,163,179,197,127,122,145,303,150,169,74,93,95,132,133,145,1256,584,447,163,207,199,643,364,452,279,341,330,216,197,200,132,1449,703,94,106,117,121,136,138,1069,1488,1123,200,233,238,249,255,282
6,830,594,71,37,18,13,38,25,25,636,240,49,827,513,371,22934,7951,3406,294,385,291,65,37,30,26,28,21,153,79,187,70,53,60,86,117,103,30,26,27,79,73,67,137,76,79,129,96,93,230,93,101,72,44,71,177,158,101,352,1565,295,314,47,58,45,54,52,257,76,63,115,125,120,71,67,141
7,10,13,13,5,7,6,4,50,33,17,27,24,567,294,236,4322,2546,1447,7,10,9,43,30,13,6,9,7,79,52,38,3,5,7,1,2,6,25,7,4,6,11,11,3,49,108,9,14,9,1166,452,83,6,9,8,5,7,8,829,976,826,1,2,4,7,14,12,225,292,148,13,15,14,5,8,10
8,32,27,13,1,2,4,9,9,15,47,38,15,111,91,26,792,548,273,7,5,3,96,64,43,12,13,14,35,2,3,1,0,4,0,0,4,0,0,1,8,3,7,16,2,3,9,8,6,119,9,9,2,3,5,13,5,5,9,34,6,0,0,0,0,0,2,4,4,2,2,6,7,6,5,7
9,273,80,93,37,121,191,24,25,24,970,811,659,292,247,112,1003,537,273,12,15,40,46,29,60,119,86,138,138,167,295,107,161,249,7,21,102,8,15,56,16,49,174,14,29,143,30,70,220,25,39,90,10,52,107,79,166,312,4,165,58,38,44,67,4,38,109,370,79,189,52,114,196,22,102,135
