Region,Deggendorf,Deggendorf,Deggendorf,Landshut,Landshut,Landshut,Passau,Passau,Passau,Straubing,Straubing,Straubing,Bogen,Bogen,Bogen,DeggendorfLand,DeggendorfLand,DeggendorfLand,Dingolfing,Dingolfing,Dingolfing,Eggenfelden,Eggenfelden,Eggenfelden,Grafenau,Grafenau,Grafenau,Griesbach,Griesbach,Griesbach,Kelheim,Kelheim,Kelheim,Koetzting,Koetzting,Koetzting,LandauIsar,LandauIsar,LandauIsar,LandshutLand,LandshutLand,LandshutLand,Mallersdorf,Mallersdorf,Mallersdorf,PassauWegscheid,PassauWegscheid,PassauWegscheid,Pfarrkirchen,Pfarrkirchen,Pfarrkirchen,Regen,Regen,Regen,RottenburgMainburg,RottenburgMainburg,RottenburgMainburg,StraubingLand,StraubingLand,StraubingLand,Viechtach,Viechtach,Viechtach,Vilsbiburg,Vilsbiburg,Vilsbiburg,Vilshofen,Vilshofen,Vilshofen,Wolfstein,Wolfstein,Wolfstein
Year,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882
1,0,6,0,89,44,35,89,25,2,244,46,11,18,13,9,73,8,0,18,9,0,21,14,3,4,4,0,5,5,2,18,18,1,2,1,1,23,12,0,41,1,0,5,3,0,49,21,7,21,15,2,2,0,2,20,10,3,3,1,0,3,3,0,9,4,2,36,23,4,0,0,0
2,4,8,3,27,17,22,15,12,34,19,19,15,2,4,4,11,10,12,7,2,15,5,8,6,0,3,1,10,3,6,21,26,23,5,1,2,6,8,11,3,4,0,2,2,0,8,9,9,7,6,2,0,1,0,0,0,0,3,3,0,3,3,2,4,2,10,29,22,28,0,2,0
3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,3,0,0,0,283,98,84,8,0,0,114,40,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,2,0,0
4,79,45,32,111,135,71,131,61,42,367,363,141,268,191,183,543,689,257,98,67,82,344,341,131,98,102,96,173,75,57,512,771,270,209,282,128,180,188,83,170,250,149,710,285,53,1689,1290,460,251,168,145,1090,831,561,316,208,229,105,59,37,259,248,59,518,423,263,446,700,252,172,40,36
5,56,82,77,262,298,173,210,206,177,215,172,125,107,146,159,177,172,168,151,157,139,247,238,254,89,93,110,218,236,233,235,215,204,110,131,121,162,157,149,118,136,148,187,151,131,336,322,314,242,240,260,116,134,131,282,259,231,143,118,96,104,119,93,212,181,213,266,270,291,124,137,150
6,28,23,13,704,223,132,218,123,82,194,104,80,69,77,83,176,117,97,85,67,65,138,116,113,30,36,46,133,116,107,117,130,107,52,26,58,109,79,60,77,86,68,110,80,76,142,115,117,261,118,115,327,76,62,150,120,125,64,47,52,60,46,59,129,98,92,188,127,146,76,66,71
7,9,10,10,150,143,87,16,16,25,13,16,13,3,3,11,133,145,48,2,6,10,6,14,15,4,4,31,4,18,20,34,11,14,40,126,58,5,4,8,0,7,10,7,7,11,22,21,27,10,15,13,6,157,101,10,12,16,1,4,2,14,24,18,7,12,15,14,8,15,132,11,18
8,9,8,7,124,67,28,111,27,27,25,20,17,2,2,3,0,2,4,1,2,4,7,7,7,0,3,6,2,3,12,8,7,8,3,5,12,4,1,4,6,7,1,1,5,2,3,5,36,9,11,11,1,1,2,7,9,6,0,0,0,0,3,5,1,5,7,2,6,18,1,2,3
9,10,16,24,58,95,94,43,43,81,71,32,39,7,21,58,17,32,73,20,50,84,46,98,196,4,34,52,41,88,149,26,47,112,8,39,84,11,34,95,7,24,74,30,24,48,126,280,536,42,47,137,9,34,66,18,61,84,4,10,22,13,46,96,7,64,151,31,92,190,18,50,144
10,7,12,57,71,57,97,20,49,152,160,19,71,3,3,33,4,4,64,2,3,51,7,11,95,244,145,33,4,3,82,601,379,76,21,34,32,2,3,58,0,0,35,5,2,53,131,161,263,13,6,87,64,60,30,9,6,95,1,0,31,364,242,98,37,7,97,16,18,145,5,2,26
11,22,27,0,81,66,0,107,125,0,65,60,0,29,32,0,34,35,0,31,43,0,89,86,0,18,13,0,82,73,0,67,69,0,20,23,0,44,50,0,40,39,0,52,49,0,101,87,0,75,72,0,27,31,0,88,76,0,37,31,0,31,34,0,71,93,0,102,108,0,23,21,0
12,74,86,60,333,354,206,180,229,163,297,206,144,185,216,209,354,149,238,160,163,159,308,293,261,541,254,240,225,208,219,252,239,253,465,384,285,144,133,116,178,130,103,184,130,114,810,909,457,314,262,241,939,697,514,200,186,182,106,80,79,253,219,194,262,221,196,257,296,243,528,293,234
