Region,Freising,Freising,Freising,Ingolstadt,Ingolstadt,Ingolstadt,Landsberg,Landsberg,Landsberg,Muenchen,Muenchen,Muenchen,Rosenheim,Rosenheim,Rosenheim,Traunstein,Traunstein,Traunstein,Aichach,Aichach,Aichach,Altoetting,Altoetting,Altoetting,Berchtesgaden,Berchtesgaden,Berchtesgaden,Dachau,Dachau,Dachau,Ebersberg,Ebersberg,Ebersberg,Erding,Erding,Erding,FreisingLand,FreisingLand,FreisingLand,Friedberg,Friedberg,Friedberg,Bruck,Bruck,Bruck,Garmisch,Garmisch,Garmisch,IngolstadtLand,IngolstadtLand,IngolstadtLand,LandsbergLand,LandsbergLand,LandsbergLand,Laufen,Laufen,Laufen,Miesbach,Miesbach,Miesbach,Muehldorf,Muehldorf,Muehldorf,MuenchenLandI,MuenchenLandI,MuenchenLandI,Pfaffenhofen,Pfaffenhofen,Pfaffenhofen,RosenheimAibling,RosenheimAibling,RosenheimAibling,Schongau,Schongau,Schongau,Schrobenhausen,Schrobenhausen,Schrobenhausen,BadToelz,BadToelz,BadToelz,TraunsteinLand,TraunsteinLand,TraunsteinLand,Wasserburg,Wasserburg,Wasserburg,Weilheim,Weilheim,Weilheim
Year,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882
1,40,25,2,46,45,21,28,17,6,1530,1392,272,46,28,6,44,28,3,14,19,10,25,11,1,37,31,4,14,7,2,14,12,6,20,13,0,58,15,12,72,39,5,29,14,6,39,14,1,17,11,5,29,4,0,15,10,2,71,31,4,20,6,2,631,229,92,33,13,3,74,18,2,5,3,2,11,10,0,15,28,4,17,8,6,24,5,2,40,33,8
2,15,3,7,6,3,7,3,6,2,32,34,14,3,4,0,1,2,0,1,0,2,10,12,10,6,1,1,3,7,5,2,2,0,2,0,5,7,2,6,2,0,0,1,0,1,2,4,5,20,130,13,32,26,30,14,10,3,3,6,4,10,7,7,64,53,60,3,4,7,17,6,6,4,0,0,0,0,2,10,5,11,22,17,16,10,7,5,16,4,10
3,0,0,2,0,0,0,0,0,0,180,242,70,291,308,127,0,0,0,0,0,0,0,0,0,87,242,168,38,18,26,0,0,9,222,275,125,0,43,0,34,10,9,17,31,60,0,1,0,1,0,0,0,9,19,286,188,172,1846,1187,608,0,0,2,525,180,95,0,0,0,752,628,484,4,0,0,0,0,0,117,8,9,276,103,166,2,1,0,1218,1684,1124
4,54,125,60,31,25,28,33,34,51,2253,2938,787,97,55,23,30,37,13,20,155,109,267,285,174,117,79,70,155,153,89,176,67,45,338,141,78,35,221,152,159,159,105,182,188,91,123,128,106,392,384,123,74,98,85,174,113,66,482,367,179,177,139,72,2115,2977,1094,221,233,124,1550,1018,377,23,79,51,120,106,90,118,141,81,325,366,160,220,144,67,191,169,142
5,177,120,87,157,549,277,107,74,59,7622,6023,2997,214,210,109,83,82,59,198,169,181,544,255,280,193,177,134,175,158,134,200,183,171,270,259,252,184,196,169,275,239,238,161,191,144,101,98,94,122,113,120,161,135,132,242,305,306,467,218,173,265,260,264,747,702,506,320,215,213,539,398,345,117,121,134,139,130,109,157,125,102,330,432,98,252,234,248,181,174,164
6,233,178,43,822,203,115,113,91,53,12994,8636,2172,226,172,112,40,41,24,94,84,94,137,281,154,108,80,35,102,88,74,106,78,67,180,126,105,107,100,107,798,69,79,108,78,59,186,197,183,61,53,65,62,67,71,134,88,204,172,110,76,132,124,106,536,285,1575,143,151,130,214,174,127,68,49,51,58,44,59,73,51,48,137,160,148,112,100,90,110,104,86
7,8,7,14,1196,1481,6,8,9,6,1237,902,389,14,13,6,6,9,7,10,12,12,9,13,23,16,14,6,6,6,13,11,4,5,6,18,20,4,9,8,9,7,13,144,4,3,7,5,8,245,298,79,3,3,4,11,10,12,10,10,8,7,14,19,179,85,264,7,10,11,376,351,402,4,5,6,1,5,5,10,8,4,4,4,4,4,10,8,7,14,7
8,14,11,18,43,25,17,4,9,8,1719,900,608,16,16,8,14,6,6,4,4,4,7,13,12,16,10,14,2,1,1,6,7,3,4,10,6,4,1,2,0,0,3,5,6,2,1,0,5,2,1,1,2,1,3,9,9,9,3,7,13,8,10,9,29,45,46,11,5,12,25,22,11,10,4,4,2,9,7,4,4,18,3,13,13,6,18,11,8,10,7
9,93,19,24,3,25,26,17,8,22,2001,1467,751,82,96,55,27,27,25,21,45,111,59,110,154,42,31,82,19,27,46,36,45,72,156,81,155,12,44,88,481,147,83,55,23,37,7,19,27,6,14,60,9,9,46,81,97,257,15,52,81,55,110,167,41,98,93,88,53,122,895,616,728,13,26,38,63,38,84,29,39,51,41,108,12,96,84,153,36,31,58
