Region,Bamberg,Bamberg,Bamberg,Bayreuth,Bayreuth,Bayreuth,Hof,Hof,Hof,BambergLandI,BambergLandI,BambergLandI,BambergLandII,BambergLandII,BambergLandII,BayreuthLand,BayreuthLand,BayreuthLand,Berneck,Berneck,Berneck,Ebermannstadt,Ebermannstadt,Ebermannstadt,Forchheim,Forchheim,Forchheim,Hoechstadt,Hoechstadt,Hoechstadt,HofLand,HofLand,HofLand,KronachTeuschnitz,KronachTeuschnitz,KronachTeuschnitz,Kulmbach,Kulmbach,Kulmbach,Lichtenfels,Lichtenfels,Lichtenfels,Muenchberg,Muenchberg,Muenchberg,Naila,Naila,Naila,Pegnitz,Pegnitz,Pegnitz,Rehau,Rehau,Rehau,Stadtsteinach,Stadtsteinach,Stadtsteinach,Staffelstein,Staffelstein,Staffelstein,Wunsiedel,Wunsiedel,Wunsiedel
Year,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882
1,404,64,37,127,74,50,41,27,16,0,4,1,5,6,3,15,12,0,4,2,0,6,4,0,22,11,0,13,6,0,7,2,0,13,9,6,20,24,5,31,18,9,10,6,3,3,2,1,3,0,1,8,1,0,0,1,0,19,8,0,20,4,7
2,21,17,11,0,0,2,7,0,0,2,5,1,9,12,10,1,2,0,2,3,0,5,6,2,1,1,1,1,0,0,2,0,0,0,0,1,2,0,0,7,11,11,0,0,0,0,0,0,4,3,2,0,0,2,0,0,0,5,2,0,1,1,0
3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,20,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,252,194,352,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,1,0,0,0,2,0,0,0,19,1,141,120
4,136,184,76,636,536,216,884,191,45,83,71,46,273,208,82,670,499,440,555,289,203,50,42,48,190,175,90,87,123,89,914,1024,336,3067,1372,1064,513,365,168,292,199,145,427,227,124,245,116,128,74,86,91,5186,2751,1196,32,57,36,273,142,107,6017,2402,587
5,706,443,280,352,315,250,246,253,212,105,100,127,108,107,123,149,126,151,257,115,99,302,76,105,407,242,177,131,120,151,133,118,116,275,229,241,271,275,210,186,167,156,128,123,124,204,181,114,122,156,152,319,251,226,82,90,100,115,109,109,629,461,397
6,421,279,167,310,261,134,634,179,175,38,59,56,68,75,83,64,42,62,49,63,39,50,49,46,247,145,145,65,47,57,62,46,30,108,155,89,172,172,84,106,62,56,49,47,35,34,41,32,605,250,55,175,134,82,35,25,30,50,44,39,586,364,125
7,28,30,21,23,15,18,22,18,18,5,9,5,4,5,4,15,4,5,74,8,4,3,5,6,8,28,36,2,4,7,2,3,3,15,10,15,11,23,28,6,9,9,7,5,5,17,166,196,8,11,11,2,8,9,1,5,3,5,7,5,90,87,23
8,99,47,34,51,48,31,56,24,37,0,0,1,9,1,2,0,0,0,0,1,3,0,0,0,119,87,14,3,1,0,4,0,2,46,50,12,15,5,7,29,39,28,3,4,4,0,0,0,2,3,4,1,0,4,0,0,0,0,2,1,6,4,12
9,1143,766,219,2800,1879,949,6011,4284,2269,10,27,63,1724,1861,1454,266,308,480,754,1056,950,17,63,116,1599,1406,420,70,160,398,1852,2343,1746,251,356,245,1089,693,792,25,107,145,6345,6049,4057,4101,4524,2700,21,82,140,544,612,932,2396,2064,1648,9,33,71,2562,2617,2218
10,106,47,126,129,71,166,209,41,110,4,5,11,4,3,10,8,2,9,134,27,34,7,8,33,103,44,80,9,9,40,22,195,31,59,22,62,12,11,60,8,7,50,8,16,33,110,51,55,5,4,36,43,32,61,52,19,36,6,6,18,52,42,129
11,209,132,0,94,89,0,93,113,0,7,6,0,12,10,0,9,10,0,19,21,0,16,20,0,41,45,0,16,14,0,29,24,0,53,71,0,85,53,0,66,92,0,20,18,0,32,41,0,25,29,0,151,73,0,14,16,0,14,15,0,48,81,0
12,577,537,346,592,422,243,344,300,179,316,218,148,454,380,306,230,143,175,124,98,107,129,103,109,264,201,187,192,207,202,205,187,130,2428,2026,1663,593,432,314,3858,3073,2334,221,150,112,633,172,144,144,138,153,520,386,145,194,182,135,188,214,182,524,354,322
13,1402,1119,784,986,809,646,1054,697,461,338,259,284,333,258,305,278,230,243,223,196,197,293,230,199,595,472,385,377,310,335,329,279,212,994,547,516,1409,1395,723,554,460,387,482,381,268,411,258,222,246,187,207,470,259,262,226,170,191,336,208,229,781,654,593
14,1593,1700,1347,947,1192,1004,652,691,650,276,419,434,311,473,531,519,411,434,190,298,299,280,368,399,438,630,604,1058,820,608,634,495,507,693,834,875,802,866,919,862,698,565,408,438,415,1458,755,626,309,416,469,385,459,479,461,488,491,257,362,398,710,952,926
15,329,0,0,160,0,0,180,0,0,22,0,0,13,0,0,9,0,0,28,0,0,20,0,0,58,0,0,35,0,0,20,0,0,48,0,0,65,0,0,53,0,0,40,0,0,40,0,0,18,0,0,46,0,0,10,0,0,19,0,0,88,0,0
16,1841,1241,322,1253,999,265,1503,730,225,297,224,191,300,307,173,297,172,176,290,183,98,267,185,218,983,838,312,494,361,278,342,262,136,754,544,356,801,899,229,486,465,232,493,288,146,259,185,135,316,242,172,674,266,135,273,145,135,337,255,174,1287,685,275
17,150,113,70,111,99,77,102,67,47,3,0,0,0,0,0,0,0,1,4,2,1,12,1,1,14,17,4,11,7,0,3,0,0,30,20,13,57,32,10,16,11,11,60,18,0,6,0,0,6,3,3,23,11,4,3,7,1,7,6,0,50,28,10
18,41,16,33,9,0,20,40,0,14,2,0,0,0,0,1,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,8,1,0,11,0,1,20,1,3,7,0,1,3,0,0,3,1,0,3,3,0,0,0,0,0,1,0,12,0,2,0,1,1
19,2501,1853,1259,1448,998,767,1319,959,734,384,220,219,349,300,242,259,165,146,247,136,112,371,329,332,952,597,450,566,356,248,371,258,142,1371,983,612,675,357,215,804,547,456,620,363,178,535,278,150,403,284,275,482,261,177,326,262,183,338,211,170,819,679,266
20,39,15,14,22,7,4,72,12,7,23,1,0,67,1,0,23,0,0,32,0,0,20,0,1,83,0,2,13,0,1,33,0,0,85,0,1,104,1,0,33,3,2,51,0,3,100,1,0,43,0,0,9,1,0,27,0,0,14,0,2,81,1,1
21,252,181,156,173,89,62,187,78,76,27,23,33,59,41,34,42,7,36,21,21,24,29,26,29,71,47,51,24,29,27,79,39,30,88,84,105,65,36,36,95,28,22,58,41,29,63,42,37,36,25,28,55,34,27,21,20,23,83,19,17,103,55,50
22,785,663,427,460,300,279,572,352,219,274,169,146,281,223,179,323,169,121,230,192,130,276,212,105,428,304,164,295,205,58,267,258,86,683,449,230,446,257,129,486,319,140,280,207,72,399,215,108,357,179,73,371,231,128,209,125,54,239,151,52,614,426,161
23,95,0,0,79,0,0,39,0,0,4,0,0,8,0,0,2,0,0,27,0,0,7,0,0,14,0,0,13,0,0,59,0,0,31,0,0,21,0,0,11,0,0,12,0,0,46,0,0,15,0,0,48,0,0,13,0,0,11,0,0,75,0,0
