Region,Augsburg,Augsburg,Augsburg,Dillingen,Dillingen,Dillingen,Donauwoerth,Donauwoerth,Donauwoerth,Guenzburg,Guenzburg,Guenzburg,Kaufbeuren,Kaufbeuren,Kaufbeuren,Kempten,Kempten,Kempten,Lindau,Lindau,Lindau,Memmingen,Memmingen,Memmingen,Neuburg,Neuburg,Neuburg,Noerdlingen,Noerdlingen,Noerdlingen,AugsburgSchwabmuenchen,AugsburgSchwabmuenchen,AugsburgSchwabmuenchen,DillingenLand,DillingenLand,DillingenLand,DonauwoerthLand,DonauwoerthLand,DonauwoerthLand,Fuessen,Fuessen,Fuessen,GuenzburgLand,GuenzburgLand,GuenzburgLand,Illertissen,Illertissen,Illertissen,KaufbeurenLand,KaufbeurenLand,KaufbeurenLand,KemptenLand,KemptenLand,KemptenLand,Krumbach,Krumbach,Krumbach,LindauLand,LindauLand,LindauLand,MarktOberdorf,MarktOberdorf,MarktOberdorf,MemmingenLand,MemmingenLand,MemmingenLand,Mindelheim,Mindelheim,Mindelheim,NeuburgLand,NeuburgLand,NeuburgLand,NeuUlm,NeuUlm,NeuUlm,NoerdlingenLand,NoerdlingenLand,NoerdlingenLand,Sonthofen,Sonthofen,Sonthofen,Wertingen,Wertingen,Wertingen,Zusmarshausen,Zusmarshausen,Zusmarshausen
Year,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882
1,352,351,80,27,17,9,12,13,2,50,31,0,30,29,18,18,40,15,5,7,3,42,40,0,25,22,17,39,35,33,149,84,5,52,33,6,34,17,7,11,5,0,46,41,12,23,20,10,5,3,0,11,3,0,35,16,7,73,37,13,11,3,0,20,12,0,32,24,13,23,6,3,115,74,23,39,25,9,11,6,0,24,19,4,5,6,0
2,3,10,4,3,2,1,7,13,20,2,1,2,0,0,0,0,1,0,5,4,4,0,4,1,5,6,11,1,0,0,0,1,1,4,5,10,16,9,4,3,0,3,3,2,1,1,0,2,1,0,0,0,0,0,5,0,1,4,1,1,1,0,0,4,1,6,0,0,1,3,0,2,3,0,3,3,4,3,4,4,1,0,2,2,1,0,0
3,28,0,0,0,0,0,0,0,0,16,0,23,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,11,0,0,0,25,6,0,37,0,0,198,201,249,14,4,11,0,24,0,4,5,4,0,1,0,1,10,2,36,1,0,4,3,1,3,1,0,136,1,5,0,1,0,0,0,0,4,0,46,0,0,0,0,0,12
4,187,252,163,31,45,28,24,20,16,21,30,19,41,42,27,74,64,41,15,10,14,34,35,22,106,60,39,146,58,35,671,807,250,192,159,125,350,214,104,33,98,109,365,223,135,230,102,60,205,205,96,176,160,104,115,97,70,200,102,103,43,93,72,270,212,129,241,222,141,265,168,101,174,83,108,153,72,68,110,114,113,156,144,64,117,67,55
5,2180,2140,1182,72,58,43,54,50,48,66,50,60,85,95,85,224,204,139,66,75,64,128,155,124,73,64,50,85,113,108,605,319,291,194,204,194,162,132,142,117,107,101,189,165,168,774,512,184,129,127,119,170,159,168,230,181,162,331,214,163,179,130,115,228,175,181,272,233,193,137,104,129,271,182,176,119,158,150,451,438,507,108,98,105,88,70,103
6,5850,3905,1870,48,59,15,28,25,17,46,40,29,77,45,40,234,152,54,258,98,13,111,142,70,60,37,26,111,66,88,984,306,168,146,112,115,94,117,172,339,191,106,92,62,74,54,58,57,83,61,79,146,131,149,82,89,82,204,119,78,119,86,68,159,107,121,182,143,107,61,55,73,171,80,88,225,172,149,353,184,264,39,44,49,41,33,48
7,689,854,450,5,6,6,2,2,2,4,5,7,4,11,9,146,144,111,4,7,6,57,35,16,6,10,5,6,12,10,527,48,30,6,6,12,5,5,7,66,3,4,5,6,7,41,10,13,3,3,7,16,10,8,5,6,7,16,15,7,8,6,7,9,13,13,12,15,9,2,5,5,7,10,7,10,6,6,27,28,7,2,3,3,3,7,4
8,193,232,195,1,3,3,13,9,16,3,1,6,30,31,30,42,33,35,8,17,14,53,25,21,5,8,6,57,31,24,60,18,11,7,8,12,1,1,3,7,6,11,7,3,12,104,9,7,25,15,0,0,0,2,46,28,17,8,2,0,9,6,12,1,1,5,9,7,13,0,0,0,8,7,5,5,0,2,5,12,5,1,0,2,0,1,2
9,11213,9499,6783,87,8,16,17,14,11,409,270,125,686,789,778,1155,1122,1048,8,16,9,504,474,348,12,15,21,125,123,156,4420,3991,1509,1172,1051,746,776,463,408,1130,904,654,447,157,155,34,23,99,13,9,21,995,1104,999,93,224,275,387,276,288,13,26,38,24,52,80,42,51,64,30,48,68,499,533,359,16,41,104,2678,2479,1455,12,18,36,26,14,34
