Region,Aschaffenburg,Aschaffenburg,Aschaffenburg,Kitzingen,Kitzingen,Kitzingen,Schweinfurt,Schweinfurt,Schweinfurt,Wuerzburg,Wuerzburg,Wuerzburg,Alzenau,Alzenau,Alzenau,AschaffenburgLand,AschaffenburgLand,AschaffenburgLand,Brueckenau,Brueckenau,Brueckenau,Ebern,Ebern,Ebern,Gerolzhofen,Gerolzhofen,Gerolzhofen,Hammelburg,Hammelburg,Hammelburg,Hassfurt,Hassfurt,Hassfurt,Karlstadt,Karlstadt,Karlstadt,Kissingen,Kissingen,Kissingen,KitzingenLand,KitzingenLand,KitzingenLand,KoenigshofenHofheim,KoenigshofenHofheim,KoenigshofenHofheim,LohrGemuenden,LohrGemuenden,LohrGemuenden,Marktheidenfeld,Marktheidenfeld,Marktheidenfeld,Mellrichstadt,Mellrichstadt,Mellrichstadt,Miltenberg,Miltenberg,Miltenberg,NeustadtSaale,NeustadtSaale,NeustadtSaale,Obernburg,Obernburg,Obernburg,Ochsenfurt,Ochsenfurt,Ochsenfurt,SchweinfurtLand,SchweinfurtLand,SchweinfurtLand,WuerzburgLand,WuerzburgLand,WuerzburgLand
Year,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882
1,73,60,46,148,12,5,51,40,12,380,254,92,21,5,0,8,7,3,20,0,0,9,5,0,18,13,4,12,3,2,12,7,2,30,13,5,143,67,12,56,14,3,15,5,1,43,21,5,26,5,2,9,9,1,33,35,1,5,6,2,3,3,0,27,14,5,6,17,0,76,46,11
2,26,30,26,10,5,8,9,10,16,20,26,31,0,0,0,5,5,3,0,1,0,2,1,3,8,10,4,2,4,8,21,16,12,11,7,5,4,3,7,19,13,12,1,3,0,43,29,31,18,11,7,3,1,1,5,6,6,5,0,0,8,7,14,13,13,18,3,2,8,27,34,9
3,102,0,0,0,0,0,0,0,0,0,0,0,201,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,14,10,0,0,0,0,0,0,0,10,0,48,11,0,0,0,0,0,0,9,15,10,2,0,0,3,0,0,0,0,0,0,0,0,0
4,179,147,86,88,100,50,141,140,32,508,352,92,243,132,67,509,282,218,23,52,39,352,108,118,100,104,61,145,72,61,1493,793,227,692,415,101,252,164,102,60,134,91,113,198,92,501,602,241,846,841,681,176,42,30,938,760,124,247,146,55,722,577,128,494,267,118,271,247,152,681,463,232
5,382,352,116,63,79,63,2634,381,388,589,386,406,113,100,76,246,278,188,68,59,64,110,114,129,191,197,197,77,98,127,131,159,171,152,152,167,236,201,165,177,206,198,171,156,197,312,200,234,210,183,227,97,78,74,269,159,156,110,99,103,107,104,131,204,201,186,590,236,189,185,191,184
6,1202,85,64,78,48,33,258,147,153,2236,717,633,63,33,40,115,113,85,38,35,34,52,48,53,87,84,82,54,52,53,74,76,73,81,70,82,121,99,73,128,97,94,97,99,89,111,82,86,131,103,102,37,30,44,115,62,90,44,45,49,109,68,79,95,70,77,550,111,75,99,655,444
7,26,64,12,36,27,14,161,200,208,192,84,45,2,12,2,90,89,23,3,7,4,5,5,6,9,15,16,3,3,6,6,30,21,8,11,12,16,26,14,16,25,28,7,8,9,18,18,17,55,7,11,5,8,4,8,5,6,4,4,4,6,4,9,10,15,11,286,210,118,17,10,5
8,92,65,69,27,22,11,296,148,108,189,163,77,25,9,7,2,6,10,2,2,2,0,1,2,7,10,4,0,0,2,5,4,3,3,8,3,35,10,7,2,10,12,0,2,7,10,5,17,23,34,7,0,1,0,14,14,26,8,11,9,6,5,4,10,7,8,0,0,0,10,0,1
9,60,22,26,96,24,31,34,24,29,185,290,256,130,93,36,3,30,48,11,26,27,28,51,90,22,44,89,9,24,47,329,279,50,12,88,128,24,57,36,12,41,102,12,24,63,59,120,164,14,28,74,14,89,66,78,85,109,11,25,61,8,9,35,19,28,103,10,13,30,7,23,70
