Town,Latitude,Longitude,Privatsprechstellen,Behoerdensprechstellen,OeffentlicheStellen,Teilnehmer,TeilnehmerAnschluesse,Ortsverbindungen,OeffentlicheOrts
Amberg,49.442375,11.856061,26,10,2,29,32,18230,69
Ansbach,49.300734,10.571476,34,15,2,28,28,3659,46
Aschaffenburg,49.973,9.148977,87,14,2,64,70,48182,442
Augsburg,48.365457,10.894768,682,48,10,431,452,521182,1515
BadKissingen,50.198626,10.075894,40,5,2,35,35,47141,62
BadReichenhall,47.72779,12.878293,11,2,8,10,11,666,151
Bamberg,49.894218,10.885527,308,41,3,195,217,367945,988
Bayreuth,49.941558,11.571031,150,32,4,109,118,144515,176
Berchtesgaden,47.631359,13.003598,13,2,6,13,13,1266,230
Bruck,48.177757,11.255364,7,4,2,7,7,2728,16
Brueckenau,50.309464,9.790221,5,5,2,4,5,648,18
Deidesheim,49.410544,8.186738,9,1,1,7,7,1082,9
BadDuerkheim,49.462143,8.16554,54,4,2,42,42,25112,196
Erlangen,49.599937,11.0063,63,14,3,52,52,19441,70
Feldafing,47.949828,11.298804,12,1,3,10,10,2566,59
Frankenthal,49.542242,8.356587,61,11,1,52,56,32199,21
Freising,48.403065,11.749148,14,9,2,15,16,4760,302
Fuerth,49.477246,10.989706,694,32,5,413,422,572564,223
Garmisch,47.492343,11.086231,33,2,6,33,33,7760,174
Helmbrechts,50.239415,11.717095,25,1,1,16,19,10398,16
Hof,50.31658,11.913471,181,29,6,133,135,212126,420
Kaiserslautern,49.44471,7.76903,184,27,12,132,144,229155,246
Kaufbeuren,47.881156,10.624583,11,7,1,11,13,4003,31
Kempten,47.723937,10.311047,92,12,2,67,68,56219,246
Kitzingen,49.738096,10.155364,52,7,2,38,39,47836,129
Kulmbach,50.107662,11.452978,73,8,3,51,56,47727,224
Lambrecht,49.36935,8.070493,26,4,3,22,22,26748,33
LandauPfalz,49.193507,8.11288,119,31,1,95,107,145367,364
Landshut,48.538823,12.151825,45,12,5,42,43,50878,478
Lauf,49.540215,11.275288,15,1,1,13,13,1757,0
Lindau,47.557401,9.707209,28,9,4,25,25,32909,130
Ludwigshafen,49.480732,8.441283,280,35,3,190,196,281007,163
Muenchberg,50.191186,11.788864,26,2,4,17,25,9969,20
Muenchen,48.139126,11.580186,4957,593,49,3681,3942,6465840,37552
NeustadtHaardt,49.35027,8.137919,259,16,2,196,202,313980,348
Nuernberg,49.45052,11.08048,2748,139,17,1799,1865,2594729,7812
Passau,48.573512,13.463918,74,12,2,60,61,105179,254
Pirmasens,49.203716,7.604746,226,7,4,162,164,292207,221
Regensburg,49.016491,12.100904,204,30,5,159,162,281005,290
Rosenheim,47.856077,12.124018,39,9,5,33,35,15168,63
Roth,49.244521,11.090581,13,1,1,10,10,2227,14
Schwabach,49.329472,11.018821,13,2,1,13,13,3318,14
Schweinfurt,50.049106,10.231153,59,6,3,43,44,44005,192
Speyer,49.317284,8.431007,104,27,7,78,85,74142,51
Starnberg,48.000536,11.342857,31,2,1,29,29,7866,51
Tutzing,47.909587,11.280462,28,2,1,27,27,8537,49
Wendelstein,49.353423,11.145068,6,2,1,8,8,3410,2
Wuerzburg,49.794256,9.927489,661,84,10,489,500,835632,1848
