Town,Latitude,Longitude,Privatsprechstellen,Behoerdensprechstellen,OeffentlicheStellen,Teilnehmer,TeilnehmerAnschluesse,OrtBausch,OrtGrund,OrtZelle,AbonnementFern,BehoerdenFern,ZelleFernEinzel,TeilnehmerFernEinzel
Aichach,48.457334,11.129148,7,4,3,9,10,7329,0,3,4614,51,430,589
Albisheim,49.648975,8.098392,8,2,3,9,9,279,0,97,1017,0,257,123
Amberg,49.442375,11.856061,48,14,10,41,42,24756,0,524,17109,1249,1397,1472
Annweiler,49.204221,7.961792,21,1,3,18,18,886,0,4,2191,0,136,2368
Ansbach,49.300734,10.571476,49,23,5,45,45,9342,0,127,4452,2276,2145,3327
Arzberg,50.056671,12.188346,20,3,1,17,17,25173,0,34,14064,3,101,829
Aschaffenburg,49.973,9.148977,207,21,2,158,158,86424,1174,611,843,482,534,3131
Augsburg,48.365457,10.894768,1100,65,18,699,733,1346211,44026,6607,0,5469,4094,28718
BadAibling,47.863523,12.01011,26,2,2,22,22,3804,0,53,23001,6,963,905
BadDuerkheim,49.462143,8.16554,86,12,6,69,72,27303,0,1113,60965,1931,3193,1663
BadKissingen,50.198626,10.075894,91,8,3,84,85,122469,0,516,0,221,2306,3849
BadReichenhall,47.72779,12.878293,26,11,9,27,31,2802,0,387,931,520,3004,1814
BadToelz,47.761703,11.564566,30,4,2,27,28,4134,0,66,14283,79,2212,1661
Bamberg,49.894218,10.885527,479,63,10,304,338,404601,17071,2211,198,5031,3100,19711
Bayreuth,49.941558,11.571031,207,61,5,148,156,150660,9854,526,273,2203,2406,7360
Berchtesgaden,47.631359,13.003598,51,6,9,53,54,40158,0,7920,519,1037,1037,1157
Bergzabern,49.102326,8.001686,32,2,6,28,28,4600,0,77,4493,5,393,315
Berneck,50.049851,11.674168,1,0,1,1,1,0,0,0,0,0,0,0
Brannenburg,47.73938,12.09178,10,1,1,10,10,1377,0,12,69,2613,58,34
Bruck,48.177757,11.255364,14,4,4,16,16,8208,0,145,24612,397,2534,362
Brueckenau,50.309464,9.790221,27,4,4,25,26,11202,0,166,1143,639,751,1153
Burgkundstadt,50.140906,11.252053,10,3,2,10,10,10212,0,8,0,124,372,1077
Cadolzburg,49.459842,10.851325,11,1,1,9,9,4851,0,36,20523,23,377,254
Cham,49.219199,12.667589,13,2,3,11,11,624,0,7,648,0,37,127
Dachau,48.259395,11.434309,23,3,3,21,21,10611,0,102,8286,14,647,551
Deggendorf,48.833671,12.960648,31,15,1,36,36,33126,0,17,0,636,634,2522
Deidesheim,49.410544,8.186738,21,3,5,17,17,4158,0,326,36087,666,1725,213
Dillingen,49.355913,6.731666,10,5,1,12,12,880,0,2,0,4,20,69
Donauwoerth,48.71945,10.776874,15,8,6,16,16,530,0,16,0,11,63,171
Edenkoben,49.282693,8.127291,99,7,9,91,94,55941,0,3219,65068,206,3468,3271
Erding,48.306268,11.907027,18,3,2,18,18,661,0,4,1154,0,77,60
Erlangen,49.599937,11.0063,132,32,3,105,106,62871,212,615,83480,2468,4722,4125
Feldafing,47.949828,11.298804,20,3,3,15,15,5007,0,97,19310,0,1334,616
Feldkirchen,47.909372,11.845124,24,7,2,30,30,25782,0,83,32052,0,651,1979
Feucht,49.375055,11.214278,9,2,1,10,11,3756,0,15,14862,1095,283,212
Forchheim,49.719873,11.058401,24,7,1,18,19,3183,0,37,14700,18,897,1238
Frankenthal,49.542242,8.356587,123,20,2,101,108,94569,951,669,60225,2936,1003,1678
Freising,48.403065,11.749148,34,16,7,33,33,11928,0,325,16704,73,3181,206
Fuerth,49.477246,10.989706,1100,51,5,704,708,1122657,21406,1571,27564,1637,1036,8506
Fuessen,47.569649,10.700407,23,6,2,18,18,6446,0,27,0,19,206,706
FurthWald,49.306707,12.845349,12,2,1,11,11,507,0,6,254,0,13,60
Garmisch,47.492343,11.086231,69,4,13,60,60,47970,0,741,57744,448,2551,1033
Geisenfeld,48.683863,11.610198,2,2,1,3,3,42,0,0,516,0,185,4
Gruenstadt,49.561685,8.165848,80,6,8,60,61,33357,0,455,71583,0,1437,963
Guenzburg,48.454424,10.2815,13,5,2,13,13,6300,0,144,0,45,631,705
Hassloch,49.355974,8.25052,26,3,2,25,25,17748,0,125,28634,20,379,746
Helmbrechts,50.239415,11.717095,53,3,2,37,37,34578,0,42,58189,3,640,1057
Hersbruck,49.509733,11.43256,24,7,3,29,29,6198,0,174,35151,0,1697,779
Hof,50.31658,11.913471,284,55,6,207,221,446652,12084,1541,35666,2218,979,8400
Holzkirchen,47.876701,11.701196,13,3,2,9,9,1134,0,177,5742,817,1452,118
Homburg,49.319451,7.334154,32,6,1,34,35,32532,0,73,27426,495,480,489
Ichenhausen,48.371025,10.305277,10,2,1,10,10,8834,0,11,0,0,400,825
Immenstadt,47.559982,10.217549,25,5,3,20,20,4614,0,73,6174,18,537,1216
Ingolstadt,48.762145,11.425389,59,18,10,58,62,48443,0,280,0,2813,1538,4354
Ismaning,48.227305,11.676251,11,0,1,8,8,1710,0,1,1341,1,49,0
Kaiserslautern,49.44471,7.76903,400,39,21,299,319,450828,20743,1819,58395,3809,3084,6943
Karlstadt,49.959493,9.765029,4,2,2,4,4,645,0,1,903,0,52,895
Kaufbeuren,47.881156,10.624583,29,7,14,26,27,16650,0,42,738,109,1185,1278
Kelheim,48.918605,11.872225,12,5,1,13,13,2628,0,20,1032,35,134,311
Kempten,47.723937,10.311047,162,16,10,119,126,92436,3018,780,18582,1475,1328,4882
Kirchenlamitz,50.151638,11.950423,19,2,2,16,17,5820,0,72,10519,9,229,458
Kirchheimbolanden,49.663015,8.013007,35,5,3,33,33,15075,0,101,19029,16,313,395
Kitzingen,49.738096,10.155364,92,11,5,64,64,58965,0,589,13680,730,1257,2737
Klingenberg,49.784196,9.183341,9,3,3,8,8,1881,0,7,1026,0,325,506
Kochel,47.659492,11.364972,20,1,6,17,18,2007,0,407,3108,1,466,304
Konradsreuth,50.267695,11.843454,4,1,3,3,3,8817,0,223,5310,0,123,0
Kronach,50.240065,11.323382,59,10,3,42,44,89482,0,221,2658,37,430,1722
Kulmbach,50.107662,11.452978,123,14,4,84,93,143508,2881,539,846,76,830,5553
Kusel,49.536325,7.403035,34,4,3,31,33,5498,0,27,2589,89,58,264
Lambrecht,49.36935,8.070493,67,6,5,49,50,24700,0,257,21774,247,510,443
LandauIsar,48.669103,12.690716,19,5,2,19,19,16422,0,55,0,56,181,1410
LandauPfalz,49.193507,8.11288,335,39,8,259,279,457605,18492,3516,101344,5298,3026,8635
Landsberg,47.983952,10.87184,34,11,7,29,29,2187,0,54,4143,190,472,666
Landshut,48.538823,12.151825,112,23,7,88,89,146892,1640,709,78707,1039,2852,3680
Landstuhl,49.412026,7.570483,17,2,4,17,17,6921,0,119,14381,55,710,503
Lauf,49.512471,11.280169,40,4,4,31,31,12750,0,278,35054,8,1827,1261
Lichtenfels,50.145704,11.059625,48,6,1,34,34,48024,0,601,2046,466,721,1703
Lindau,47.557401,9.707209,62,14,7,58,58,59928,0,460,6453,500,1274,1382
Lindenberg,50.298191,11.236507,63,4,1,63,63,95706,0,64,8756,7,133,2578
Ludwigshafen,49.480732,8.441283,538,56,4,344,366,734628,9890,1397,160752,16380,2414,8567
Mainburg,48.641653,11.785553,12,2,9,9,9,1905,0,23,1542,0,430,276
Marktbreit,49.665858,10.143167,14,2,5,11,11,4644,0,44,7986,6,551,728
Marktredwitz,49.999983,12.085741,29,3,1,24,24,19563,0,67,22186,0,518,963
Memmingen,47.984452,10.177454,71,9,1,53,53,42518,0,181,588,134,999,2367
Mering,48.267498,10.988598,6,1,1,5,5,490,0,54,262,2,238,158
Miesbach,47.789417,11.833552,13,2,1,11,12,1782,0,107,6567,70,869,56
Miltenberg,49.703239,9.257088,20,2,9,16,16,1550,0,45,0,0,60,288
Mindelheim,48.036925,10.499589,15,6,4,17,17,1230,0,12,0,5,129,380
Mittenwald,47.443549,11.26383,4,0,1,4,4,0,0,0,9534,0,625,88
Moosburg,48.468644,11.935706,9,2,4,10,10,1773,0,2,4941,0,91,66
Muehldorf,48.238904,12.527663,15,8,2,15,15,1134,0,7,0,2,62,108
Muenchberg,50.191186,11.788864,53,5,4,30,32,27393,0,435,30556,27,468,1356
Muenchen,48.139126,11.580186,9057,1024,56,6226,6853,12588504,203236,178778,38092,21666,21280,103845
Murnau,47.679218,11.19605,19,4,4,20,20,4902,0,270,10317,148,2140,1785
Naila,50.329811,11.70803,25,3,2,19,20,10443,0,21,16695,0,361,541
Nesselwang,47.62208,10.499493,9,2,2,4,4,231,0,2,105,0,129,148
NeuAltOetting,48.227927,12.678867,3,2,1,4,4,117,0,0,31,0,144,15
NeumarktOP,49.28229,11.457132,22,5,2,20,20,6717,0,65,23697,57,941,498
NeustadtHaardt,49.35027,8.137919,457,23,2,342,351,480126,22555,891,87157,3474,2025,12886
Noerdlingen,48.850831,10.489575,40,6,14,40,40,21048,0,110,0,16,1062,1698
Nuernberg,49.45052,11.08048,5082,224,22,3286,3437,5414493,197966,26769,36816,11341,6505,63255
Oberammergau,47.595895,11.06562,9,2,2,9,9,653,0,39,7776,114,3205,116
Oberau,47.559853,11.132071,8,0,1,6,6,649,0,0,4581,0,84,99
Oberaudorf,47.647368,12.172368,16,4,2,16,16,585,0,6,756,0,58,100
Oberkotzau,50.262793,11.933475,13,2,1,9,9,582,0,15,6699,9,328,107
Obernburg,49.842286,9.147769,8,2,8,9,9,597,0,345,0,3,534,531
Ochsenfurt,49.664741,10.062271,19,2,1,16,16,5220,0,188,8565,1,477,1142
Pasing,48.140128,11.457116,102,10,1,78,78,40650,0,506,3481,0,103,491
Passau,48.573512,13.463918,169,29,4,129,138,246675,3077,1034,1953,1226,759,4058
Pfaffenhofen,48.529861,11.503235,14,3,9,15,15,5433,0,51,13175,8,823,807
Pirmasens,49.203716,7.604746,433,16,6,311,321,609402,20990,1768,37502,631,752,6486
Planegg,48.103151,11.421532,30,2,1,26,26,15492,0,33,2454,0,74,102
Plattling,48.78128,12.869551,3,4,1,4,4,1125,0,3,0,42,524,420
Prien,47.85688,12.34707,22,2,10,21,21,822,0,10,0,6,196,441
Regen,48.969477,13.127836,9,4,2,9,9,2226,0,36,819,34,430,644
Regensburg,49.016491,12.100904,428,52,5,299,316,548682,10985,2336,7266,2150,2618,12148
Rehau,50.247369,12.032256,11,5,1,12,12,2018,0,3,2338,2,97,179
Rosenheim,47.856077,12.124018,92,13,4,72,79,65040,0,382,75882,3427,2557,2966
Roth,49.244521,11.090581,27,2,1,19,19,3486,0,66,23484,1,823,380
