Ortsnetz,Privatsprechstellen,Behoerdensprechstellen,Oeffentlichesprechstellen,Sprechstellen,Teilnehmer,Teilnehmeranschluesse
Abbach,6,1,4,11,5,5
Abensberg,17,5,10,32,18,18
Aichach,21,9,15,45,22,22
Albisheim,32,1,8,41,29,29
Alsenz,49,2,21,72,41,41
Altdorf,14,3,6,23,16,16
Amberg,133,23,16,172,111,112
Amorbach,12,3,4,19,18,18
Annweiler,51,2,8,61,42,41
Ansbach,151,49,7,207,113,119
Arnstein,11,3,9,23,11,11
Arnstorf,10,4,3,17,11,12
Arzberg,40,9,2,51,32,32
Asch,20,2,7,29,17,17
Aschaffenburg,482,46,26,554,361,376
Aschau,14,3,3,20,10,13
Aschbach,0,0,2,2,0,0
Aub,11,2,1,14,12,12
Augsburg,1884,169,32,2085,1224,1292
Babenhausen,13,3,15,31,12,12
BadAibling,48,6,7,61,37,38
BadDuerkheim,190,19,8,217,156,159
BadKissingen,256,19,8,283,213,217
BadReichenhall,154,25,11,190,131,138
BadSteben,17,1,3,21,13,13
BadToelz,102,12,5,119,84,90
Bamberg,804,100,22,926,558,585
Bayreuth,356,108,8,472,284,299
Behringersdorf,18,3,2,23,16,16
Berchtesgaden,136,16,11,163,132,135
Berg,6,0,1,7,4,4
Bergzabern,57,7,13,77,58,58
Berneck,8,4,1,13,7,7
Blieskastel,29,4,7,40,27,27
Bobingen,11,1,3,15,9,9
Bodenwoehr,6,3,2,11,5,6
Bogen,6,6,8,20,9,9
Brannenburg,25,2,4,31,21,21
Breitenberg,1,0,3,4,1,1
Bruchmuehlbach,12,1,9,22,12,12
Bruck,37,10,23,70,31,31
Bruckmuehl,15,3,1,19,16,16
Brueckenau,47,11,23,81,48,48
Buchloe,26,5,12,43,22,22
Burgau,19,4,10,33,16,16
Burgebrach,1,1,7,9,1,1
Burghausen,10,3,4,17,11,11
Burgkundstadt,23,4,3,30,22,22
Burglengenfeld,21,5,2,28,17,18
Buttenheim,18,3,13,34,16,16
Cadolzburg,15,3,1,19,15,15
Cham,33,5,5,43,29,29
Dachau,33,8,11,52,30,30
Dahn,11,2,14,27,9,9
Deggendorf,69,34,5,108,66,68
Deidesheim,66,2,5,73,47,48
Dettelbach,15,3,8,26,14,14
Diessen,16,2,3,21,16,16
Dietmannsried,21,2,9,32,22,22
Dillingen,26,15,8,49,26,26
Dingolfing,18,3,8,29,17,17
Dinkelsbuehl,19,8,12,39,18,18
Donauwoerth,38,14,5,57,38,38
Dorfen,12,6,3,21,14,14
Ebrach,4,3,2,9,2,2
Edenkoben,168,9,15,192,151,155
Eggenfelden,14,4,7,25,11,11
Eggmuehl,13,2,4,19,13,13
Eichstaett,52,16,7,75,47,47
Eisenstein,5,0,1,6,4,4
Eltmann,22,3,8,33,17,17
Endorf,5,4,13,22,6,6
Ensheim,14,3,10,27,13,13
Erbendorf,8,8,2,18,8,8
Erding,42,18,11,71,34,35
Ergoldsbach,10,2,2,14,8,8
Erlangen,189,41,4,234,158,163
Ettringen,7,0,5,12,7,7
Fall,1,1,2,4,2,2
Feldafing,37,5,4,46,33,33
Feldkirchen,47,25,3,75,47,49
Feucht,15,3,1,19,15,15
Feuchtwangen,17,6,2,25,18,18
Fichtelberg,9,3,5,17,9,9
Fischach,12,1,17,30,9,9
Forchheim,65,12,12,89,53,55
Frankenthal,315,39,4,358,255,264
Freilassing,19,3,6,28,16,16
Freinsheim,38,4,5,47,34,34
Freising,81,36,19,136,73,82
Freyung,10,10,11,31,15,16
Friedberg,9,2,2,13,7,8
Frontenhausen,9,2,5,16,10,10
Fuerstenzell,15,4,2,21,12,12
Fuerth,1689,99,6,1794,1074,1101
Fuessen,36,15,8,59,37,38
FurthWald,18,4,1,23,14,14
Garmisch,128,13,14,155,117,118
Gefrees,11,2,3,16,6,6
Geiselhoering,7,1,1,9,8,8
Geisenfeld,6,3,1,10,7,7
Gemuenden,19,3,7,29,18,18
Georgensgmuend,19,1,1,21,17,17
Germersheim,32,12,4,48,32,32
Gerolzhofen,18,4,6,28,18,18
Goellheim,58,2,15,75,43,43
Graefenberg,37,7,4,48,35,35
Grafenau,18,6,7,31,16,18
Grafengehaig,5,0,2,7,3,3
Grafing,25,7,15,47,17,17
Grassau,23,7,12,42,22,22
Griesbach,23,4,8,35,19,19
Groenenbach,20,2,7,29,15,15
Gruenenbach,37,2,8,47,34,34
Gruenstadt,162,13,24,199,144,144
Guenzburg,26,9,3,38,23,23
Gunzenhausen,64,8,12,84,59,59
Haag,14,5,4,23,11,11
Hammelburg,32,4,5,41,33,33
Hassfurt,15,3,2,20,14,14
Hassloch,57,4,2,63,53,53
Hauenstein,16,0,2,18,14,14
Hauzenberg,21,2,2,25,16,18
Helmbrechts,74,5,6,85,54,54
Hengersberg,17,3,11,31,14,15
Herrieden,7,1,2,10,6,6
Herrsching,24,6,6,36,21,22
Hersbruck,55,9,4,68,55,55
Herzogenaurach,2,1,2,5,1,1
Hilpoltstein,5,5,1,11,10,10
Hirschau,10,3,4,17,7,7
Hochspeyer,25,1,6,32,22,22
Hof,537,73,8,618,404,417
Hofheim,16,3,7,26,17,17
Holzkirchen,34,7,15,56,31,32
Homburg,74,12,11,97,65,65
Hornbach,13,1,11,25,13,12
Hutthurm,18,3,3,24,15,16
Ichenhausen,25,3,1,29,23,23
Illertissen,17,5,8,30,17,17
Immenstadt,69,9,6,84,57,57
Ingenheim,25,1,5,31,20,20
Ingolstadt,126,38,10,174,111,118
Ismaning,21,2,2,25,15,15
Kaiserslautern,838,69,27,934,652,680
Kallmuenz,2,0,2,4,2,2
Kandel,30,5,10,45,32,31
Karlstadt,19,4,19,42,17,17
Kaufbeuren,84,25,13,122,66,66
Kelheim,19,12,1,32,21,21
Kemnath,7,2,3,12,7,7
Kempten,386,36,20,442,300,305
Kirchenlamitz,31,5,3,39,26,27
Kirchheim,5,0,3,8,5,5
Kirchheimbolanden,91,9,11,111,92,92
Kitzingen,196,11,9,216,127,127
Klingenberg,26,4,8,38,24,24
Kochel,39,2,7,48,38,38
Koenigshofen,10,3,16,29,12,12
Koetzting,2,4,5,11,5,5
Konradsreuth,5,1,3,9,4,4
Kraiburg,12,1,1,14,9,9
Kreuth,7,1,3,11,4,4
Kronach,100,17,13,130,69,71
Krumbach,24,5,10,39,25,25
Kulmbach,151,25,5,181,112,120
Kusel,55,5,32,92,47,49
Lam,12,3,4,19,9,9
Lambrecht,98,9,6,113,72,71
LandauIsar,27,7,8,42,27,28
LandauPfalz,649,64,21,734,527,546
Landsberg,83,18,18,119,71,71
Landshut,279,79,13,371,211,242
Landstuhl,40,3,12,55,35,35
Langenzenn,12,4,1,17,11,11
Langquaid,9,1,3,13,10,10
Lauf,64,13,5,82,56,56
Lauingen,16,6,6,28,18,19
Lauterecken,19,3,5,27,18,19
Lenggries,17,1,4,22,13,14
Lichtenfels,69,15,3,87,51,51
Lindau,160,30,11,201,146,151
Lindenberg,109,6,6,121,101,101
Lohr,40,3,20,63,38,38
Ludwigshafen,987,110,10,1107,634,695
Ludwigsstadt,18,5,2,25,16,16
Lustadt,26,1,4,31,22,22
Mainburg,23,5,7,35,23,23
Marktbreit,22,3,9,34,17,17
Marktl,2,0,1,3,1,1
MarktOberdorf,15,2,10,27,17,17
Marktredwitz,90,11,2,103,63,64
Marktzeuln,1,3,3,7,2,2
Mellrichstadt,21,5,9,35,22,22
Memmingen,164,22,10,196,122,124
Mering,12,2,4,18,11,11
Miesbach,60,5,3,68,46,47
Miltenberg,60,5,11,76,49,49
Mindelheim,38,9,17,64,37,37
Mintraching,25,8,3,36,24,24
Mittenwald,16,2,2,20,11,11
Mitterteich,19,4,1,24,18,18
Moosburg,16,11,7,34,19,19
Muehldorf,38,14,4,56,30,31
Muenchberg,81,13,4,98,52,54
Muenchen,14438,1879,121,16438,9763,10516
Muennerstadt,15,3,4,22,16,16
Muggendorf,5,2,7,14,6,6
Murnau,42,13,7,62,45,45
Mutterstadt,45,4,8,57,42,42
Naila,37,5,7,49,27,27
Nesselwang,21,3,14,38,19,19
Neuburg,31,20,13,64,30,30
Neuenmarkt,11,3,1,15,10,10
NeufahrnNB,12,5,3,20,13,13
NeumarktRott,36,9,3,48,37,37
NeumarktOP,42,10,6,58,34,34
NeustadtAisch,20,8,8,36,22,22
NeustadtHaardt,809,34,9,852,618,360
NeustadtSaale,37,3,4,44,32,32
Neuulm,117,7,8,132,90,90
NeuAltOetting,56,9,4,69,46,46
Nittenau,13,3,8,24,14,14
Noerdlingen,76,12,14,102,69,70
Nordendorf,21,2,3,26,17,18
Nordheim,9,1,2,12,8,8
Nuernberg,7903,362,45,8310,5243,5449
Oberammergau,12,3,5,20,12,12
Oberau,13,0,1,14,8,8
Oberaudorf,27,3,3,33,24,24
Oberguenzburg,35,6,16,57,28,29
Oberkotzau,25,3,1,29,18,18
Obernburg,22,8,25,55,22,22
Obernzell,11,2,3,16,8,8
Oberstaufen,46,2,2,50,43,43
Oberstdorf,34,2,10,46,32,32
Ochsenfurt,59,3,9,71,47,47
Odernheim,10,2,4,16,11,11
Oettingen,10,1,23,34,9,9
Ortenburg,10,2,3,15,10,10
Osterhofen,18,4,5,27,17,17
Ottobeuren,23,4,4,31,21,21
Pappenheim,69,3,4,76,46,46
Pasing,169,12,3,184,139,141
Passau,404,74,19,497,312,318
Pegnitz,18,2,6,26,12,12
Penzberg,36,2,9,47,34,34
Pfaffenhofen,26,7,12,45,28,27
Pfarrkirchen,36,7,8,51,25,26
Pirmasens,626,28,20,674,468,477
Planegg,68,5,1,74,59,63
Plattling,9,9,5,23,11,13
Pocking,15,3,2,20,13,13
Pretzfeld,0,0,3,3,0,0
Prien,32,5,5,42,34,34
Rain,13,4,3,20,15,15
Regen,13,6,2,21,14,14
Regensburg,994,141,21,1156,731,752
Regenstauf,25,4,1,30,22,22
Rehau,17,9,1,27,21,21
Riedenburg,13,4,7,24,12,13
Rockenhausen,22,3,11,36,22,22
Roding,6,3,2,11,6,6
Rosenheim,186,41,14,241,163,169
Roth,53,5,3,61,42,42
Rothenburg,54,15,22,91,46,46
RothenkirchenTeuschnitz,14,4,5,23,14,14
Rott,3,0,1,4,3,3
Rottenburg,6,4,6,16,8,8
Ruelzheim,63,3,7,73,53,53
Rupprechtstegen,25,1,4,30,21,21
SanktIngbert,100,16,4,120,86,91
Schaftlach,19,3,1,23,18,18
Scheslitz,5,2,13,20,5,5
Schifferstadt,34,1,2,37,24,24
Schillingsfuerst,6,1,1,8,5,5
Schleissheim,11,10,4,25,16,16
Schliersee,56,9,11,76,53,53
Schnaittach,21,0,2,23,19,19
Schongau,15,1,8,24,16,15
Schrobenhausen,21,2,14,37,16,16
Schwabach,113,12,4,129,88,88
Schwaben,14,8,3,25,20,20
Schwabmuenchen,50,8,13,71,51,51
Schwandorf,28,8,3,39,27,27
Schwarzenbach,40,8,1,49,27,27
Schweinfurt,329,25,24,378,252,262
Seeshaupt,16,0,2,18,13,13
Selb,53,11,4,68,47,47
Siegsdorf,17,4,9,30,16,16
Simbach,13,4,3,20,13,13
Sonthofen,51,12,18,81,44,48
Spalt,3,0,5,8,2,2
Speyer,385,70,10,465,288,331
Spiegelau,6,1,2,9,5,5
Stadtlauringen,14,2,15,31,13,18
Staffelstein,7,12,17,36,11,11
Starnberg,138,15,9,162,122,122
Straskirchen,9,3,3,15,8,8
Straubing,241,49,28,318,203,205
Suenching,28,5,1,34,25,25
Sulzbach,16,5,8,29,16,16
Tann,28,2,4,34,20,20
Taufkirchen,3,1,3,7,4,4
Tegernsee,135,9,8,152,117,119
Teisendorf,10,1,1,12,7,7
Thannhausen,5,1,10,16,5,5
Thurnau,4,3,1,8,3,3
Tirschenreuth,28,4,4,36,22,23
Tittling,14,1,4,19,14,14
Toepen,8,2,2,12,6,6
Traunstein,78,19,14,111,74,78
Treuchtlingen,30,5,10,45,26,26
Trostberg,31,3,6,40,20,20
Tutzing,56,4,2,62,48,48
Uffenheim,13,3,15,31,13,13
Unsleben,14,1,8,23,13,13
Velden,8,2,5,15,8,8
Viechtach,13,4,3,20,16,16
Vilsbiburg,12,5,4,21,14,14
Vilseck,10,3,1,14,10,10
Vilshofen,43,9,16,68,32,35
Vohenstrauss,16,2,11,29,11,11
Volkach,31,2,12,45,24,24
Waging,6,3,3,12,7,7
Waldfischbach,19,3,3,25,19,19
Waldkirchen,39,4,10,53,31,31
Waldmohr,43,2,9,54,35,35
Waldmuenchen,5,3,1,9,5,5
Waldsassen,28,4,3,35,23,23
Wasserburg,25,9,4,38,26,26
