"","Town","County","BezirkNR","Bezirk","Y1840","Y1875","Y1880","Y1885","Y1890","Y1895","Y1900","Y1905","Y1910","Region","Longitude","Latitude","NNID","NameGNU","PostOffice","PostRevenues","PostBahn","Bahnbezirk","RankRailWeight","TotalRailWeight","SentRailWeight","RankRailRevenues","RailRevenues","CollectedNachnahme","PaidOutNachnahme","TelegraphRevenues","Post_1900","Telegraph_1900","Y1896","InstallTime","Install1896","Install1900","MainLines1896","MainLines1900","MainLines1905","Lines1896","Lines1900","Lines1905","Government1896","Government1900","Government1905","Public1896","Public1900","Public1905","Privat1896","Privat1900","Privat1905","Participants1896","Participants1900","Participants1905","Gov1896","Gov1900","Gov1905","Pub1896","Pub1900","Pub1905","Penetration1896","Penetration1900","Penetration1905","LocalCalls1896","LocalCalls1900","DistanceCalls1900","EmpRatio82","EmpRatio95","EmpRatio07","IndexDisSim82","IndexDisSim95","IndexDisSim07","PopShare1880","PopShare1896","PopShare1900","PopShare1905","City","Fringe","Border","StateTax","LocalTax","Agriculture","Catholics","Participation","Zentrum","Socialist","Liberal","DifCatholicsZentrum","PostRevenues_pc","TelegraphRevenues_pc","Nachnahme","RailStation","RailWeight","MA_Pop_Out_1880","MA_Pop_Out_1896","MA_Pop_Out_1900","MA_Pop_Out_1905","MA_Post_Out_1880","MA_Post_Out_1900","MA_Pop_In_1880","MA_Pop_In_1896","MA_Pop_In_1900","MA_Pop_In_1905","MA_Post_In_1880","MA_Post_In_1900"
"1","Abbach","Kelheim",36,"Kelheim",0.611,0.892,0.973,1.033,1.111,1.278,1.187,1.23,1218,"NB",12.04361,48.93527,"DEBKGGND00000AHT","","E",2631.26,1,"I",439,10234.15,8782.65,226,0.0129897225077081,2904,1821,321.35,4955.07,354.7,1.2598,12,0,0,0,0,5,0,0,11,0,0,1,0,0,4,0,0,6,0,0,5,0,0,0.0909090909090909,0,0,0.363636363636364,0,0,0.0040650406504065,0,0,0,0.102754468602801,0.132216069745523,0.130319844290155,0.223344020368919,0.220130475806053,0.226760820579392,0.0303521851701656,0.0376413760603205,0.0358090985881501,0.0357319234232926,0,0,0,4.21382174106481,1.94756043304167,0.75,0.995,0.528,0.788,0.012,0.2,0.207,2.70427543679342,0.330267214799589,1113.05241521069,1,7534.58376156218,17.6540639398174,23.8849840970393,26.6686357010632,29.0101812191536,6.84626000489407,14.2015248744654,1.07300556379564,1.36466620049326,1.48822880150945,1.61226456651009,109.990983085741,247.619404736319
"2","Abensberg","Kelheim",36,"Kelheim",1.428,1.885,2.094,2.229,2.186,2.339,2.202,2.278,2258,"NB",11.84833,48.81555,"DEBKGGND00000SLT","","E",10823.85,1,"I",421,9579.21,3716.31,493,0.0221719197707736,30066,5092,766.9,15721.72,1265.95,2.3116,18,0,0,0,0,18,0,0,32,0,0,5,0,0,10,0,0,17,0,0,18,0,0,0.15625,0,0,0.3125,0,0,0.00790166812993854,0,0,0,0.102754468602801,0.132216069745523,0.130319844290155,0.223344020368919,0.220130475806053,0.226760820579392,0.0653211467074274,0.0688913760603204,0.0664293471702667,0.0661766841937077,0,0,0,4.21382174106481,1.94756043304167,0.75,0.995,0.528,0.788,0.012,0.2,0.207,5.16898280802292,0.366236867239733,11926.4565425024,1,-1025.11461318052,16.9676478398955,23.5862083901535,26.4730700037898,28.940202376724,4.65862149049042,10.062040332028,0.842249575370384,1.12009105648145,1.2365742310675,1.37537824202031,103.918546576491,240.52966602442
"3","Aichach","Aichach",56,"Aichach",1.749,2.647,2.608,2.641,2.483,2.568,2.576,2.762,3342,"OB",11.13361,48.46111,"DEBKGGND000008CO","","E",12670.51,1,"I",458,11406.54,5524.79,514,0.0245176380368098,30188,6483,938.3,19689.35,871.8,2.5696,74,0,1,0,10,22,0,14,45,0,4,9,0,3,15,0,7,21,0,9,22,0,0.285714285714286,0.2,0,0.214285714285714,0.333333333333333,0,0.00388198757763975,0.00796524257784214,0,7332,5095,0.100585058505851,0.104294018376149,0.110375670840787,0.216198966103659,0.160602703037736,0.21512107060886,0.0978097809780978,0.0963060191261954,0.0956589550298934,0.098819320214669,0,0,0,4.70147812523212,2.77798410458293,0.637,0.971,0.58,0.828,0.082,0.088,0.143,4.85832438650307,0.359777607361963,9089.34049079755,1,-136.871165644172,17.9164373286568,26.3509833239952,29.6385762522102,32.0926535223696,6.09678445239158,13.2964600767179,0.808310064998203,1.19315784693371,1.3277414833236,1.42943824141203,125.029333040728,292.262095531648
"6","Altdorf","Nuernberg",20,"NuernbergLand",3.077,3.057,3.293,3.106,2.979,2.942,2.867,2.887,2903,"MF",11.35472,49.38527,"DEBKGGND00000O1U","","E",7726.69,0,"Rg",299,4505.54,1752.26,413,0.00959459459459459,8058,975,520.3,12238.26,561.75,2.927,33,0,0,0,0,16,0,0,23,0,0,3,0,0,6,0,0,14,0,0,16,0,0,0.130434782608696,0,0,0.260869565217391,0,0,0.0055420852095601,0,0,0,0.125053610527979,0.200792914688926,0.187433390482369,0.263851294381066,0.276725218184414,0.248217133973758,0.074332407846324,0.0535035553858185,0.14042907523511,0.133775079931421,0,1,0,3.58647262066799,3.05536593026908,0.117,0.201,0.774,0.008,0.564,0.419,0.193,2.3463984208928,0.158001822046766,2150.92620710598,1,-303.984208928029,19.2410474303157,27.6306566118582,32.9105652667275,36.2490863674945,6.91222223982268,17.4188161662196,1.00432667184444,1.50029802090706,1.87130418767211,2.07707839268642,126.840256401968,305.338680133619
"7","Amberg","Amberg",101,"Amberg",10.627,13.38,14.583,15.812,19.126,20.2,22.039,24.303,25242,"OP",11.85444,49.44472,"DEBKGGND00000RJ1","","V",61665.24,0,"N",564,55348.58,23546.01,589,0.0246680381265857,76994,71754,3487.2,105587.08,5415.3,20.5678,145,1,1,32,42,112,38,72,172,10,14,23,2,10,16,26,48,133,29,41,111,0.263157894736842,0.194444444444444,0.133720930232558,0.0526315789473684,0.138888888888889,0.0930232558139535,0.00155582998667821,0.00190571260039022,0.00460848454923261,18299,25280,19755,0.200430889382616,0.286237623762376,0.319096407850883,0.223492915553983,0.292696126143314,0.420628530927547,0.981821854170875,1,1,1,1,0,0,4.15867695421199,3.61162408297496,0.67,0.807,0.5,0.743,0.023,0.101,0.0640000000000001,4.22857025303435,0.239127751491463,359.322498799973,1,-566.177055475554,14.4625885718186,19.7006584386829,22.5048658023745,24.6091077921374,2.82238520499861,6.34292369796934,0.546222574176187,0.714829632671389,0.81156771628786,0.88459935835061,86.5812775402089,199.571592999985
"8","Amorbach","Miltenberg",177,"Miltenberg",2.931,2.385,2.503,2.28,2.176,2.166,2.173,2.261,2341,"UF",9.22,49.645,"DEBKGGND000026P7","","E",9488.61,0,"Wg",204,2705.15,1186,352,0.00801717938473831,13925,5760,563.7,12008.29,964.85,2.1674,36,0,0,0,0,18,0,0,19,0,0,3,0,0,4,0,0,12,0,0,18,0,0,0.157894736842105,0,0,0.210526315789474,0,0,0.00796107916850951,0,0,0,0.102963031766673,0.15771349862259,0.17036340009858,0.283969912204179,0.219680388495833,0.229059919590069,0.116245587962103,0.10655253837072,0.102824965693465,0.101312900479455,0,0,1,3.97440215560795,2.95424144733677,0.635,0.936,0.637,0.654,0.1,0.246,0.282,3.79089492608869,0.225209748302038,3262.08549740312,1,-133.100279664403,9.28925076288789,12.3376793971682,13.8444965327207,15.218863218842,2.01728182612006,4.14069341097096,0.324554150722341,0.385044795313,0.422755365623645,0.467878768286602,59.6139195947835,132.305869903163
"10","Ansbach","Ansbach",1,"Ansbach",11.939,13.299,14.195,13.935,14.258,15.883,17.563,18.478,19995,"MF",10.57138,49.30055,"DEBKGGND00000ROD","","Amt",76712.25,0,"N",552,49433.62,7667.43,600,0.0333972525537161,93504,69918,6352.8,149394.58,8665.15,16.219,174,1,1,28,45,119,51,77,207,15,23,49,2,5,7,34,49,151,28,45,113,0.294117647058824,0.298701298701299,0.236714975845411,0.0392156862745098,0.0649350649350649,0.0338164251207729,0.00172637030643073,0.00256220463474349,0.00644009091893062,3705,9469,8873,0.211976047904192,0.27161115658251,0.305498430566079,0.177404073794713,0.171541457784562,0.15034333910673,1,1,1,1,1,0,0,6.92737710800144,3.46365267312522,0.597,0.138,0.654,0.002,0.078,0.839,0.136,5.40417400493131,0.447537865445579,1661.57097569567,1,-2402.16696019725,15.4449582376218,21.3830557350673,24.7379583848454,27.075674641311,3.72006927166993,8.61681490470252,0.590201094614995,0.805102300923793,0.947184368927362,1.03806175526809,99.2123088518029,230.093316911962
"11","Arnstein","Karlstadt",170,"Karlstadt",1.626,1.63,1.849,1.816,1.786,1.73,1.745,1.771,1695,"UF",9.967222,49.97861,"DEBKGGND00000RTW","Arnstein","E",6076.72,1,"B",293,4342.57,2336.41,339,0.00871984856679286,10744,1028,353.6,8674.56,756.2,1.733,14,0,0,0,0,11,0,0,23,0,0,3,0,0,9,0,0,11,0,0,11,0,0,0.130434782608696,0,0,0.391304347826087,0,0,0.0062111801242236,0,0,0,0.0762400891160474,0.0911618868935942,0.113761226436819,0.220805999459487,0.169348901285394,0.185535664687235,0.0605792543083677,0.0579603323505763,0.0871628371628372,0.0582623285192618,0,0,0,4.36048729877171,1.57167241206198,0.764,0.882,0.582,0.698,0.088,0.207,0.184,3.28648999459167,0.191238507301244,5254.73228772309,1,178.610059491617,13.133750447869,17.287202295647,19.3142071925289,21.1328141152495,4.16549975576307,8.31194729938635,0.601939751070252,0.757986817021043,0.828972439476111,0.906192697255947,87.0455387037533,186.372780675108
"12","Arnstorf","Eggenfelden",33,"Eggenfelden",1.075,1.276,1.276,1.443,1.456,1.441,1.414,1.624,1625,"NB",12.81722,48.56083,"DEBKGGND000000B6","","E",6242.04,0,"Z",0,0,0,0,0,0,0,443.85,8826.36,611.75,1.4356,24,0,0,0,0,12,0,0,17,0,0,4,0,0,3,0,0,10,0,0,11,0,0,0.235294117647059,0,0,0.176470588235294,0,0,0.00738916256157635,0,0,0,0.0999188123405242,0.0982482440798423,0.109125435721346,0.206334936541136,0.176479625558229,0.169411270349188,0.0369983762468105,0.0400044418533633,0.0388546933391954,0.0422454606940326,0,0,0,4.80086899724534,2.30977195921961,0.783,0.997,0.416,0.836,0.01,0.154,0.161,4.89188087774295,0.347844827586207,0,0,0,11.9647413839316,16.3664609995739,18.2473727163676,19.8164114066269,2.13368417356037,4.73400212642222,0.390142439576166,0.499645362759396,0.544510228850882,0.589162571195745,72.0828952692659,168.341194877241
"13","Arzberg","Wunsiedel",100,"Wunsiedel",1.99,2.152,2.274,2.105,2.164,2.212,2.588,3.336,3844,"OF",12.18527,50.05694,"DEBKGGND00000MSX","","E",4237.03,0,"Wn",207,2790.46,488.26,283,0.00679023746701847,6139,2287,193.1,11202.16,793.75,2.2872,93,0,1,0,17,32,0,24,51,0,3,9,0,1,2,0,20,40,0,17,32,0,0.125,0.176470588235294,0,0.0416666666666667,0.0392156862745098,0,0.00656877897990726,0.00959232613908873,0,25207,14168,0.153962245478612,0.256843882720156,0.318452318368205,0.339639429137599,0.357055899515522,0.436961890605997,0.0562606694871224,0.056593153558819,0.0597249146127573,0.0701503522237409,0,0,1,2.65138676911741,2.10199463186148,0.452,0.122,0.693,0.004,0.078,0.918,0.118,1.86324978012313,0.0849164467897977,1693.93139841689,1,-797.68689533861,12.1961528465213,16.0947130638549,18.1785159307722,20.0722082888514,2.33851213925677,5.2516540380775,0.528624291915682,0.657657284993976,0.74071364977333,0.839977493468452,67.4789859406201,152.132391951062
"14","Asch","Kaufbeuren",146,"KaufbeurenLand",0.575,0.545,0.582,0.66,0.632,0.655,0.621,0.624,607,"SC",10.83,47.94861,"DEBKGGND00000BMV","","E",1569.49,0,"Wn",567,61458.36,5060.62,588,0.875403780068729,141479,290449,0,2147.19,104.5,0.6482,26,0,0,0,0,17,0,0,29,0,0,2,0,0,7,0,0,20,0,0,17,0,0,0.0689655172413793,0,0,0.241379310344828,0,0,0.0272435897435897,0,0,0,0.0777719888220528,0.0838276683264776,0.111696610099166,0.206043270133971,0.191986573029793,0.157112460968508,0.0275659546251125,0.0283611171249188,0.0467550067760879,0.0258910418654828,0,1,0,5.36703386744355,2.39912600145666,0.702,0.971,0.682,0.691,0.039,0.269,0.28,2.69671821305842,0,-255962.199312715,1,-88208.1099656357,14.3535027429047,21.0228070816969,23.6352723910931,25.6941771324495,3.85642598255204,9.52686069563508,0.589521125416958,0.850191915767935,0.947009617292977,1.03342708699954,95.8110393702648,235.904089219052
